,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,190.43,-317.38,946.78,0.0,0.04,1016.5559589614336,484.8633333333333,-1.0,-1.0,-1.0,-1.0
1,10.0,209.47,-342.29,933.11,0.0,0.01,1015.7432732240958,494.95666666666665,-1.0,-1.0,-1.0,-1.0
2,20.0,202.15,-352.05,911.62,0.0,0.05,997.9252724528025,488.60666666666674,-1.0,-1.0,-1.0,-1.0
3,30.0,226.07,-369.14,873.54,0.0,0.04,974.9072346126068,489.58333333333326,-1.0,-1.0,-1.0,-1.0
4,40.0,271.0,-335.94,876.46,0.0,0.02,976.9743165508497,494.4666666666667,-1.0,-1.0,-1.0,-1.0
5,50.0,290.04,-283.69,902.34,0.0,0.05,989.3536745269612,492.02333333333337,-1.0,-1.0,-1.0,-1.0
6,60.0,312.99,-293.46,909.18,0.0,0.06,1005.3306839542895,505.21,-1.0,-1.0,-1.0,-1.0
7,70.0,305.66,-285.16,927.73,0.0,0.02,1017.5594400820032,506.18333333333334,-1.0,-1.0,-1.0,-1.0
8,80.0,328.61,-271.97,923.34,0.0,0.03,1017.1081400716445,507.97333333333336,-1.0,-1.0,-1.0,-1.0
9,90.0,336.91,-254.39,923.34,0.0,0.01,1015.27305479856,504.88,-1.0,-1.0,-1.0,-1.0
10,100.0,332.52,-238.77,925.78,0.0,0.03,1012.249609384958,499.02333333333326,-1.0,-1.0,-1.0,-1.0
11,110.0,313.96,-242.19,925.29,0.0,0.01,1006.671973286234,493.8133333333333,-1.0,-1.0,-1.0,-1.0
12,120.0,302.25,-237.3,926.76,0.0,0.06,1003.2698789956768,488.77,-1.0,-1.0,-1.0,-1.0
13,130.0,260.25,-238.77,928.71,0.0,0.03,993.601247734724,475.91,-1.0,-1.0,-1.0,-1.0
14,140.0,233.4,-258.3,931.15,0.0,0.05,994.0999811387182,474.2833333333333,-1.0,-1.0,-1.0,-1.0
15,150.0,215.82,-267.09,958.98,0.0,0.03,1018.605900679944,480.63,-1.0,-1.0,-1.0,-1.0
16,160.0,193.85,-285.16,939.94,0.0,0.01,1001.1899178976984,472.98333333333335,-1.0,-1.0,-1.0,-1.0
17,170.0,152.34,-278.32,941.41,0.0,0.02,993.4396237819387,457.3566666666666,-1.0,-1.0,-1.0,-1.0
18,180.0,137.21,-277.34,958.01,0.0,0.03,1006.7408901003276,457.52,-1.0,-1.0,-1.0,-1.0
19,190.0,130.86,-295.9,955.57,0.0,0.01,1008.8583520494838,460.7766666666666,-1.0,-1.0,-1.0,-1.0
20,200.0,194.82,-310.06,942.87,0.0,0.04,1011.4820180804007,482.58333333333326,-1.0,-1.0,-1.0,-1.0
21,210.0,229.0,-283.69,946.78,0.0,0.03,1014.5508289385997,486.49,-1.0,-1.0,-1.0,-1.0
22,220.0,175.78,-271.97,919.43,0.0,0.05,974.7911644039456,455.7266666666666,-1.0,-1.0,-1.0,-1.0
23,230.0,244.14,-266.6,892.09,0.0,0.0,962.5510208295456,467.61,-1.0,-1.0,-1.0,-1.0
24,240.0,249.02,-229.0,867.19,0.0,0.07,930.8439485219853,448.40333333333336,-1.0,-1.0,-1.0,-1.0
25,250.0,253.42,-225.1,888.67,0.0,0.0,951.1183287583096,455.73,-1.0,-1.0,-1.0,-1.0
26,260.0,257.32,-230.96,910.16,0.0,0.05,973.6258673638453,466.1466666666667,-1.0,-1.0,-1.0,-1.0
27,270.0,273.93,-241.7,918.95,0.0,0.02,988.9012273225267,478.19333333333327,-1.0,-1.0,-1.0,-1.0
28,280.0,303.71,-226.56,923.34,0.0,0.02,998.0610969775348,484.5366666666667,-1.0,-1.0,-1.0,-1.0
29,290.0,328.12,-233.4,927.25,0.0,0.02,1010.9059584847644,496.25666666666666,-1.0,-1.0,-1.0,-1.0
30,300.0,299.32,-227.54,917.48,0.0,0.05,991.532381922043,481.4466666666667,-1.0,-1.0,-1.0,-1.0
31,310.0,286.62,-246.09,935.06,0.0,0.01,1008.4882330002664,489.25666666666666,-1.0,-1.0,-1.0,-1.0
32,320.0,317.87,-244.63,928.22,0.0,0.05,1011.1763160794462,496.9066666666667,-1.0,-1.0,-1.0,-1.0
33,330.0,320.8,-254.88,931.64,0.0,0.03,1017.7571144433232,502.44000000000005,-1.0,-1.0,-1.0,-1.0
34,340.0,265.14,-240.72,941.41,0.0,0.02,1007.222977349107,482.42333333333335,-1.0,-1.0,-1.0,-1.0
35,350.0,270.02,-252.44,941.89,0.0,0.0,1011.8268261417066,488.1166666666666,-1.0,-1.0,-1.0,-1.0
36,360.0,263.67,-261.72,921.87,0.0,0.04,993.9132377627336,482.42000000000013,-1.0,-1.0,-1.0,-1.0
37,370.0,261.23,-258.79,935.06,0.0,0.01,1004.7639427248572,485.0266666666666,-1.0,-1.0,-1.0,-1.0
38,380.0,280.27,-271.0,926.27,0.0,0.1,1004.9718333366363,492.51333333333326,-1.0,-1.0,-1.0,-1.0
39,390.0,316.89,-253.42,926.76,0.0,0.02,1011.6941564030108,499.02333333333326,-1.0,-1.0,-1.0,-1.0
40,400.0,329.59,-236.33,920.41,0.0,0.1,1005.8011757300743,495.44333333333327,-1.0,-1.0,-1.0,-1.0
41,410.0,310.06,-229.49,916.02,0.0,0.0,993.9293255055916,485.19,-1.0,-1.0,-1.0,-1.0
42,420.0,307.62,-216.8,912.11,0.0,0.12,986.7000336981854,478.84333333333336,-1.0,-1.0,-1.0,-1.0
43,430.0,307.13,-237.79,913.09,0.0,0.08,992.273283475878,486.0033333333333,-1.0,-1.0,-1.0,-1.0
44,440.0,324.71,-221.19,916.99,0.0,0.04,997.6132819384475,487.63,-1.0,-1.0,-1.0,-1.0
45,450.0,326.17,-228.52,912.11,0.0,0.04,995.2652467558586,488.93333333333334,-1.0,-1.0,-1.0,-1.0
46,460.0,375.0,-248.54,897.95,0.0,0.05,1004.3462222261804,507.16333333333336,-1.0,-1.0,-1.0,-1.0
47,470.0,371.58,-264.16,914.06,0.0,0.01,1021.4489148263852,516.6,-1.0,-1.0,-1.0,-1.0
48,480.0,375.0,-279.3,917.97,0.0,0.12,1030.1953265764703,524.09,-1.0,-1.0,-1.0,-1.0
49,490.0,433.59,-289.06,909.18,0.0,0.1,1047.933320445533,543.9433333333333,-1.0,-1.0,-1.0,-1.0
50,500.0,410.16,-260.74,901.37,0.0,0.1,1024.0529527812514,524.09,-1.0,-1.0,-1.0,-1.0
51,510.0,372.56,-278.81,899.9,0.0,0.1,1013.0922858752801,517.09,-1.0,-1.0,-1.0,-1.0
52,520.0,363.77,-303.22,884.28,0.0,0.07,1003.1062255314737,517.09,-1.0,-1.0,-1.0,-1.0
53,530.0,362.3,-291.02,875.0,0.0,0.1,990.7466529845053,509.44,-1.0,-1.0,-1.0,-1.0
54,540.0,377.93,-280.76,872.07,0.0,0.1,991.0415467577533,510.2533333333334,-1.0,-1.0,-1.0,-1.0
55,550.0,367.19,-281.74,868.16,0.0,0.06,983.8230071003626,505.6966666666667,-1.0,-1.0,-1.0,-1.0
56,560.0,409.67,-280.27,859.37,0.0,0.06,992.4200616170554,516.4366666666666,-1.0,-1.0,-1.0,-1.0
57,570.0,416.99,-259.77,862.3,0.0,0.1,992.432568490172,513.02,-1.0,-1.0,-1.0,-1.0
58,580.0,426.27,-257.81,875.98,0.0,0.06,1007.7266838781236,520.02,-1.0,-1.0,-1.0,-1.0
59,590.0,453.12,-269.53,878.91,0.0,0.07,1024.913139441582,533.8533333333334,-1.0,-1.0,-1.0,-1.0
60,600.0,448.73,-270.51,883.3,0.0,0.05,1027.0117638079907,534.18,-1.0,-1.0,-1.0,-1.0
61,610.0,434.57,-242.68,875.49,0.0,0.11,1007.0885797187852,517.58,-1.0,-1.0,-1.0,-1.0
62,620.0,430.66,-261.72,887.7,0.0,0.02,1020.772591716686,526.6933333333334,-1.0,-1.0,-1.0,-1.0
63,630.0,406.25,-256.35,888.67,0.0,0.1,1010.1924340936237,517.09,-1.0,-1.0,-1.0,-1.0
64,640.0,389.16,-258.3,890.62,0.0,0.06,1005.6681261728444,512.6933333333333,-1.0,-1.0,-1.0,-1.0
65,650.0,391.11,-266.11,889.16,0.0,0.02,1007.1678458926297,515.46,-1.0,-1.0,-1.0,-1.0
66,660.0,384.28,-264.16,894.53,0.0,0.03,1008.7792349666997,514.3233333333334,-1.0,-1.0,-1.0,-1.0
67,670.0,377.93,-248.54,893.07,0.0,0.04,1001.0880287966687,506.51333333333326,-1.0,-1.0,-1.0,-1.0
68,680.0,368.65,-258.3,903.32,0.0,0.04,1009.2614799446176,510.09,-1.0,-1.0,-1.0,-1.0
69,690.0,372.56,-265.14,902.34,0.0,0.0,1011.5916413256883,513.3466666666667,-1.0,-1.0,-1.0,-1.0
70,700.0,371.09,-269.04,910.16,0.0,0.04,1019.0591421993132,516.7633333333333,-1.0,-1.0,-1.0,-1.0
71,710.0,377.44,-264.65,900.88,0.0,0.01,1011.9710225594406,514.3233333333333,-1.0,-1.0,-1.0,-1.0
72,720.0,392.58,-272.46,893.55,0.0,0.05,1013.3040562930753,519.53,-1.0,-1.0,-1.0,-1.0
73,730.0,371.58,-268.07,893.55,0.0,0.02,1004.1737020057834,511.06666666666666,-1.0,-1.0,-1.0,-1.0
74,740.0,375.98,-261.72,901.86,0.0,0.06,1011.538322754012,513.1866666666666,-1.0,-1.0,-1.0,-1.0
75,750.0,371.09,-251.95,902.83,0.0,0.02,1008.1114023261516,508.6233333333333,-1.0,-1.0,-1.0,-1.0
76,760.0,373.54,-258.3,875.0,0.0,0.04,985.8377257946664,502.28,-1.0,-1.0,-1.0,-1.0
77,770.0,396.0,-269.53,893.55,0.0,0.01,1013.8510854163936,519.6933333333333,-1.0,-1.0,-1.0,-1.0
78,780.0,379.88,-267.58,878.91,0.0,0.02,994.1783838426584,508.79,-1.0,-1.0,-1.0,-1.0
79,790.0,389.65,-257.32,889.65,0.0,0.02,1004.7476436399339,512.2066666666666,-1.0,-1.0,-1.0,-1.0
80,800.0,386.72,-266.11,891.11,0.0,0.07,1007.1960695912192,514.6466666666666,-1.0,-1.0,-1.0,-1.0
81,810.0,390.62,-278.32,886.72,0.0,0.02,1008.1261653186074,518.5533333333334,-1.0,-1.0,-1.0,-1.0
82,820.0,377.44,-273.93,888.18,0.0,0.07,1003.1761116075282,513.1833333333333,-1.0,-1.0,-1.0,-1.0
83,830.0,364.26,-260.25,878.42,0.0,0.12,985.9194219103302,500.9766666666666,-1.0,-1.0,-1.0,-1.0
84,840.0,389.65,-269.04,872.07,0.0,0.03,992.3284380687677,510.2533333333334,-1.0,-1.0,-1.0,-1.0
85,850.0,399.41,-268.07,872.56,0.0,0.0,996.3688205679663,513.3466666666667,-1.0,-1.0,-1.0,-1.0
86,860.0,414.55,-248.54,864.75,0.0,0.05,990.6646236744301,509.28,-1.0,-1.0,-1.0,-1.0
87,870.0,425.78,-248.05,866.21,0.0,0.02,996.5626799153177,513.3466666666667,-1.0,-1.0,-1.0,-1.0
88,880.0,430.18,-251.95,852.54,0.0,0.01,987.6021904086683,511.55666666666673,-1.0,-1.0,-1.0,-1.0
89,890.0,443.36,-259.77,872.56,0.0,0.0,1012.6250520799887,525.23,-1.0,-1.0,-1.0,-1.0
90,900.0,435.55,-263.18,857.42,0.0,0.02,997.0639755301562,518.7166666666667,-1.0,-1.0,-1.0,-1.0
91,910.0,446.78,-243.16,866.21,0.0,0.02,1004.519247252137,518.7166666666667,-1.0,-1.0,-1.0,-1.0
92,920.0,456.54,-253.42,859.86,0.0,0.03,1005.986922181397,523.2733333333333,-1.0,-1.0,-1.0,-1.0
93,930.0,436.52,-255.37,874.02,0.0,0.02,1009.7893382780389,521.9699999999998,-1.0,-1.0,-1.0,-1.0
94,940.0,441.89,-246.58,867.19,0.0,0.04,1004.035340314274,518.5533333333334,-1.0,-1.0,-1.0,-1.0
95,950.0,437.01,-251.95,856.93,0.0,0.02,994.3769745423513,515.2966666666666,-1.0,-1.0,-1.0,-1.0
96,960.0,421.87,-250.49,869.63,0.0,0.05,998.4867920508515,513.9966666666667,-1.0,-1.0,-1.0,-1.0
97,970.0,438.48,-238.28,857.91,0.0,0.0,992.4976760174303,511.55666666666673,-1.0,-1.0,-1.0,-1.0
98,980.0,431.64,-248.05,878.42,0.0,0.01,1009.6848956481423,519.37,-1.0,-1.0,-1.0,-1.0
99,990.0,418.95,-238.28,869.63,0.0,0.01,994.2599246675893,508.9533333333334,-1.0,-1.0,-1.0,-1.0
100,1000.0,428.71,-255.37,867.19,0.0,0.01,1000.5121673922812,517.09,0.7716790376882426,0.8545731590223156,-1.0,-1.0
101,1010.0,431.15,-242.19,875.0,0.0,0.03,1005.0727926871764,516.1133333333332,-1.0,-1.0,-1.0,-1.0
102,1020.0,417.97,-250.98,857.42,0.0,0.04,986.3361180145436,508.79,-1.0,-1.0,-1.0,-1.0
103,1030.0,433.59,-261.23,864.26,0.0,0.01,1001.592106897813,519.6933333333333,-1.0,-1.0,-1.0,-1.0
104,1040.0,437.99,-246.58,857.42,0.0,0.02,993.8842955294142,513.9966666666667,-1.0,-1.0,-1.0,-1.0
105,1050.0,440.92,-248.54,852.05,0.0,0.03,991.0458014138395,513.8366666666667,-1.0,-1.0,-1.0,-1.0
106,1060.0,445.31,-253.91,859.37,0.0,0.05,1000.6438332893476,519.5300000000002,-1.0,-1.0,-1.0,-1.0
107,1070.0,438.96,-259.28,866.21,0.0,0.0,1005.1028624474212,521.4833333333332,-1.0,-1.0,-1.0,-1.0
108,1080.0,446.29,-252.44,857.42,0.0,0.04,999.0344208784801,518.7166666666667,-1.0,-1.0,-1.0,-1.0
109,1090.0,429.69,-253.91,857.42,0.0,0.0,992.1052568150217,513.6733333333333,-1.0,-1.0,-1.0,-1.0
110,1100.0,442.87,-255.37,865.23,0.0,0.06,1004.9729482428868,521.1566666666666,-1.0,-1.0,-1.0,-1.0
111,1110.0,437.99,-262.7,861.33,0.0,0.04,1001.3670151348108,520.6733333333333,-1.0,-1.0,-1.0,-1.0
112,1120.0,432.13,-249.02,854.98,0.0,0.04,989.817204184692,512.0433333333334,-1.0,-1.0,-1.0,-1.0
113,1130.0,442.38,-271.0,859.86,0.0,0.01,1004.2411483304196,524.4133333333333,-1.0,-1.0,-1.0,-1.0
114,1140.0,442.38,-265.14,859.86,0.0,0.07,1002.6756721891679,522.46,-1.0,-1.0,-1.0,-1.0
115,1150.0,458.98,-261.72,854.49,0.0,0.03,1004.645787777961,525.0633333333334,-1.0,-1.0,-1.0,-1.0
116,1160.0,447.75,-251.95,858.89,0.0,0.02,1000.825108148272,519.5300000000002,-1.0,-1.0,-1.0,-1.0
117,1170.0,442.38,-271.48,850.1,0.0,0.04,996.0278433859164,521.32,-1.0,-1.0,-1.0,-1.0
118,1180.0,466.8,-262.21,858.4,0.0,0.05,1011.685170445826,529.1366666666668,-1.0,-1.0,-1.0,-1.0
119,1190.0,447.27,-266.11,858.4,0.0,0.02,1003.8503598644569,523.9266666666666,-1.0,-1.0,-1.0,-1.0
120,1200.0,470.7,-265.62,862.3,0.0,0.07,1017.6805807324812,532.8733333333333,-1.0,-1.0,-1.0,-1.0
121,1210.0,462.4,-250.0,858.89,0.0,0.01,1006.9785459978776,523.7633333333333,-1.0,-1.0,-1.0,-1.0
122,1220.0,453.61,-262.7,850.59,0.0,0.07,999.1379635465764,522.3000000000002,-1.0,-1.0,-1.0,-1.0
123,1230.0,448.73,-270.51,852.05,0.0,0.02,1000.2617035056377,523.7633333333333,-1.0,-1.0,-1.0,-1.0
124,1240.0,443.36,-254.39,864.75,0.0,0.08,1004.5272142654973,520.8333333333334,-1.0,-1.0,-1.0,-1.0
125,1250.0,446.29,-257.32,860.84,0.0,0.02,1003.2117683221227,521.4833333333332,-1.0,-1.0,-1.0,-1.0
126,1260.0,441.89,-255.37,864.26,0.0,0.04,1003.706110671844,520.5066666666668,-1.0,-1.0,-1.0,-1.0
127,1270.0,441.89,-259.28,865.72,0.0,0.02,1005.964218498849,522.2966666666666,-1.0,-1.0,-1.0,-1.0
128,1280.0,449.22,-263.67,857.42,0.0,0.03,1003.23951960636,523.4366666666666,-1.0,-1.0,-1.0,-1.0
129,1290.0,450.2,-251.46,854.49,0.0,0.02,998.0307268315939,518.7166666666667,-1.0,-1.0,-1.0,-1.0
130,1300.0,446.78,-278.81,861.33,0.0,0.09,1009.5725597499173,528.9733333333334,-1.0,-1.0,-1.0,-1.0
131,1310.0,454.1,-257.32,852.05,0.0,0.0,999.2044810247801,521.1566666666666,-1.0,-1.0,-1.0,-1.0
132,1320.0,437.5,-244.63,853.03,0.0,0.05,989.398942691976,511.72,-1.0,-1.0,-1.0,-1.0
133,1330.0,447.27,-262.7,843.26,0.0,0.02,990.024833274398,517.7433333333332,-1.0,-1.0,-1.0,-1.0
134,1340.0,440.92,-254.88,845.7,0.0,0.05,987.209577951916,513.8333333333334,-1.0,-1.0,-1.0,-1.0
135,1350.0,434.57,-266.11,857.42,0.0,0.02,997.413992983856,519.3666666666667,-1.0,-1.0,-1.0,-1.0
136,1360.0,438.96,-274.9,877.44,0.0,0.09,1018.8998209833977,530.4333333333333,-1.0,-1.0,-1.0,-1.0
137,1370.0,416.5,-264.16,868.16,0.0,0.01,998.4761094788396,516.2733333333333,-1.0,-1.0,-1.0,-1.0
138,1380.0,434.08,-255.37,863.77,0.0,0.08,999.8689395115739,517.74,-1.0,-1.0,-1.0,-1.0
139,1390.0,426.76,-258.79,850.1,0.0,0.02,985.7821116758004,511.8833333333334,-1.0,-1.0,-1.0,-1.0
140,1400.0,457.52,-241.7,836.43,0.0,0.06,983.5438908864211,511.8833333333334,-1.0,-1.0,-1.0,-1.0
141,1410.0,483.4,-244.63,827.15,0.0,0.01,988.7853758020492,518.3933333333333,-1.0,-1.0,-1.0,-1.0
142,1420.0,473.63,-246.58,836.91,0.0,0.06,992.7464033679497,519.04,-1.0,-1.0,-1.0,-1.0
143,1430.0,484.37,-256.84,826.66,0.0,0.04,991.9414489273044,522.6233333333333,-1.0,-1.0,-1.0,-1.0
144,1440.0,496.09,-250.49,844.24,0.0,0.05,1010.738198447056,530.2733333333333,-1.0,-1.0,-1.0,-1.0
145,1450.0,484.37,-250.0,853.03,0.0,0.02,1012.3114529629704,529.1333333333333,-1.0,-1.0,-1.0,-1.0
146,1460.0,467.29,-251.95,862.3,0.0,0.05,1012.6203812880717,527.18,-1.0,-1.0,-1.0,-1.0
147,1470.0,455.08,-264.65,859.37,0.0,0.01,1007.7967184903907,526.3666666666667,-1.0,-1.0,-1.0,-1.0
148,1480.0,453.12,-250.49,858.4,0.0,0.07,1002.4537567888108,520.67,-1.0,-1.0,-1.0,-1.0
149,1490.0,449.22,-257.32,841.8,0.0,0.02,988.2506922840984,516.1133333333332,-1.0,-1.0,-1.0,-1.0
150,1500.0,451.66,-255.37,853.52,0.0,0.07,998.8528334544583,520.1833333333333,0.689838121757353,0.6971640419247732,-1.0,-1.0
151,1510.0,447.75,-259.77,859.37,0.0,0.01,1003.2334286196808,522.2966666666666,-1.0,-1.0,-1.0,-1.0
152,1520.0,450.2,-241.21,854.98,0.0,0.04,995.9182217933358,515.4633333333333,-1.0,-1.0,-1.0,-1.0
153,1530.0,454.59,-264.16,865.72,0.0,0.02,1012.8690399553143,528.1566666666666,-1.0,-1.0,-1.0,-1.0
154,1540.0,445.31,-254.39,864.75,0.0,0.07,1005.3893925738423,521.4833333333332,-1.0,-1.0,-1.0,-1.0
155,1550.0,444.82,-246.09,870.61,0.0,0.06,1008.1601522575667,520.5066666666668,-1.0,-1.0,-1.0,-1.0
156,1560.0,454.1,-255.37,857.91,0.0,0.05,1003.7082320076886,522.46,-1.0,-1.0,-1.0,-1.0
157,1570.0,448.24,-263.18,850.59,0.0,0.03,996.8380801815308,520.6700000000002,-1.0,-1.0,-1.0,-1.0
158,1580.0,462.4,-261.23,864.26,0.0,0.0,1014.3964809185803,529.2966666666666,-1.0,-1.0,-1.0,-1.0
159,1590.0,449.22,-255.86,849.61,0.0,0.03,994.5351175800682,518.23,-1.0,-1.0,-1.0,-1.0
160,1600.0,451.17,-247.56,837.89,0.0,0.07,983.3107212880373,512.2066666666666,-1.0,-1.0,-1.0,-1.0
161,1610.0,449.71,-253.42,855.96,0.0,0.03,999.564056026426,519.6966666666667,-1.0,-1.0,-1.0,-1.0
162,1620.0,462.4,-257.81,854.49,0.0,0.12,1005.2029228966657,524.9,-1.0,-1.0,-1.0,-1.0
163,1630.0,449.22,-251.95,856.45,0.0,0.03,999.391821759614,519.2066666666667,-1.0,-1.0,-1.0,-1.0
164,1640.0,452.64,-260.25,860.84,0.0,0.14,1006.8061073016987,524.5766666666667,-1.0,-1.0,-1.0,-1.0
165,1650.0,456.54,-253.91,856.93,0.0,0.01,1003.6075351450884,522.46,-1.0,-1.0,-1.0,-1.0
166,1660.0,446.78,-267.58,849.12,0.0,0.13,996.1004965363684,521.16,-1.0,-1.0,-1.0,-1.0
167,1670.0,452.64,-242.68,851.07,0.0,0.05,994.0305311709495,515.4633333333333,-1.0,-1.0,-1.0,-1.0
168,1680.0,459.96,-257.32,853.03,0.0,0.16,1002.7147973875722,523.4366666666666,-1.0,-1.0,-1.0,-1.0
169,1690.0,451.66,-250.49,850.59,0.0,0.03,995.1107193674483,517.58,-1.0,-1.0,-1.0,-1.0
170,1700.0,462.4,-244.14,849.61,0.0,0.04,997.6248050745329,518.7166666666667,-1.0,-1.0,-1.0,-1.0
171,1710.0,456.54,-250.98,847.17,0.0,0.04,994.5434836647414,518.23,-1.0,-1.0,-1.0,-1.0
172,1720.0,468.75,-252.44,852.54,0.0,0.07,1005.1253492475453,524.5766666666667,-1.0,-1.0,-1.0,-1.0
173,1730.0,472.17,-256.84,862.3,0.0,0.1,1016.106581269898,530.4366666666666,-1.0,-1.0,-1.0,-1.0
174,1740.0,465.33,-254.39,853.03,0.0,0.07,1004.4433592293793,524.25,-1.0,-1.0,-1.0,-1.0
175,1750.0,464.36,-261.23,847.66,0.0,0.11,1001.1986806323707,524.4166666666666,-1.0,-1.0,-1.0,-1.0
176,1760.0,460.94,-244.63,849.12,0.0,0.1,996.651541362376,518.23,-1.0,-1.0,-1.0,-1.0
177,1770.0,466.31,-254.88,860.35,0.0,0.1,1011.2422820471858,527.18,-1.0,-1.0,-1.0,-1.0
178,1780.0,470.21,-250.0,840.33,0.0,0.1,994.8627809904241,520.18,-1.0,-1.0,-1.0,-1.0
179,1790.0,453.12,-256.35,860.84,0.0,0.04,1006.021154101642,523.4366666666666,-1.0,-1.0,-1.0,-1.0
180,1800.0,452.15,-247.56,842.29,0.0,0.12,987.5110228245557,514.0,-1.0,-1.0,-1.0,-1.0
181,1810.0,447.27,-259.77,847.17,0.0,0.0,992.586477189771,518.07,-1.0,-1.0,-1.0,-1.0
182,1820.0,455.57,-261.23,858.4,0.0,0.12,1006.2980163947458,525.0666666666666,-1.0,-1.0,-1.0,-1.0
183,1830.0,452.64,-258.3,858.4,0.0,0.1,1004.2173169190024,523.1133333333332,-1.0,-1.0,-1.0,-1.0
184,1840.0,465.82,-254.88,845.21,0.0,0.14,998.1643306089436,521.97,-1.0,-1.0,-1.0,-1.0
185,1850.0,465.82,-257.81,847.66,0.0,0.01,1000.9903816221213,523.7633333333333,-1.0,-1.0,-1.0,-1.0
186,1860.0,457.03,-258.3,862.79,0.0,0.09,1009.9514320005693,526.04,-1.0,-1.0,-1.0,-1.0
187,1870.0,462.89,-254.39,850.1,0.0,0.1,1000.8253764768358,522.46,-1.0,-1.0,-1.0,-1.0
188,1880.0,464.36,-243.16,846.19,0.0,0.06,995.3866139847372,517.9033333333333,-1.0,-1.0,-1.0,-1.0
189,1890.0,460.94,-241.7,849.61,0.0,0.01,996.3542169830968,517.4166666666666,-1.0,-1.0,-1.0,-1.0
190,1900.0,473.63,-249.51,852.54,0.0,0.04,1006.6802216195567,525.2266666666667,-1.0,-1.0,-1.0,-1.0
191,1910.0,453.61,-252.44,855.47,0.0,0.02,1000.6582366622483,520.5066666666668,-1.0,-1.0,-1.0,-1.0
192,1920.0,458.01,-252.44,861.82,0.0,0.05,1008.0837396268228,524.09,-1.0,-1.0,-1.0,-1.0
193,1930.0,457.03,-255.37,853.03,0.0,0.02,1000.8748366803912,521.81,-1.0,-1.0,-1.0,-1.0
194,1940.0,458.5,-249.02,871.58,0.0,0.06,1015.8173589774887,526.3666666666667,-1.0,-1.0,-1.0,-1.0
195,1950.0,460.94,-250.49,859.86,0.0,0.03,1007.2587270905127,523.7633333333333,-1.0,-1.0,-1.0,-1.0
196,1960.0,444.34,-258.79,853.52,0.0,0.07,996.4470332636853,518.8833333333333,-1.0,-1.0,-1.0,-1.0
197,1970.0,441.41,-253.91,848.63,0.0,0.02,989.6898267134003,514.65,-1.0,-1.0,-1.0,-1.0
198,1980.0,447.27,-250.98,858.4,0.0,0.07,999.9459851912003,518.8833333333333,-1.0,-1.0,-1.0,-1.0
199,1990.0,437.01,-250.98,850.59,0.0,0.03,988.6718609326352,512.86,-1.0,-1.0,-1.0,-1.0
200,2000.0,448.73,-250.98,855.47,0.0,0.06,998.0874181152672,518.3933333333333,0.6592965928816663,0.6590919165542665,-1.0,-1.0
201,2010.0,464.36,-247.07,852.05,0.0,0.02,1001.3306132342103,521.16,-1.0,-1.0,-1.0,-1.0
202,2020.0,454.59,-254.88,852.54,0.0,0.05,999.2198627429301,520.67,-1.0,-1.0,-1.0,-1.0
203,2030.0,474.61,-244.14,854.0,0.0,0.02,1007.0625560013636,524.25,-1.0,-1.0,-1.0,-1.0
204,2040.0,467.77,-246.09,848.14,0.0,0.07,999.3550523212457,520.6666666666666,-1.0,-1.0,-1.0,-1.0
205,2050.0,452.64,-257.81,837.4,0.0,0.06,986.1986238582975,515.9499999999998,-1.0,-1.0,-1.0,-1.0
206,2060.0,457.52,-249.51,856.45,0.0,0.05,1002.5399707742332,521.16,-1.0,-1.0,-1.0,-1.0
207,2070.0,464.84,-248.05,850.59,0.0,0.01,1000.5540346228184,521.16,-1.0,-1.0,-1.0,-1.0
208,2080.0,467.29,-249.51,847.17,0.0,0.04,999.1557401626636,521.3233333333333,-1.0,-1.0,-1.0,-1.0
209,2090.0,465.82,-253.42,854.49,0.0,0.12,1005.6655154175266,524.5766666666667,-1.0,-1.0,-1.0,-1.0
210,2100.0,462.89,-254.39,845.21,0.0,0.02,996.675156859044,520.83,-1.0,-1.0,-1.0,-1.0
211,2110.0,462.4,-253.91,860.35,0.0,0.01,1009.2007583231397,525.5533333333333,-1.0,-1.0,-1.0,-1.0
212,2120.0,448.24,-246.58,852.05,0.0,0.04,993.8360008069741,515.6233333333333,-1.0,-1.0,-1.0,-1.0
213,2130.0,458.01,-256.35,850.1,0.0,0.01,999.0788220155603,521.4866666666667,-1.0,-1.0,-1.0,-1.0
214,2140.0,458.98,-254.88,840.82,0.0,0.1,991.264206556456,518.2266666666667,-1.0,-1.0,-1.0,-1.0
215,2150.0,458.01,-257.32,865.72,0.0,0.0,1012.6489327007657,527.0166666666668,-1.0,-1.0,-1.0,-1.0
216,2160.0,445.31,-252.44,859.86,0.0,0.04,1000.6928446331572,519.2033333333334,-1.0,-1.0,-1.0,-1.0
217,2170.0,458.01,-255.37,846.68,0.0,0.01,995.9186811180921,520.02,-1.0,-1.0,-1.0,-1.0
218,2180.0,460.94,-254.88,854.0,0.0,0.07,1003.367080384841,523.2733333333333,-1.0,-1.0,-1.0,-1.0
219,2190.0,459.47,-258.3,857.91,0.0,0.02,1006.896786666836,525.2266666666667,-1.0,-1.0,-1.0,-1.0
220,2200.0,455.57,-247.56,847.17,0.0,0.08,993.2406492889827,516.7666666666668,-1.0,-1.0,-1.0,-1.0
